Date,Nom_GDP_CAN,Real_GDP_CAN,CPI_CAN,UNEMP_CAN,WUICAN,CAN_unc_h1,CAN_unc_h2,CAN_unc_h4,mean_EPU_CAN,mean_UNEMP_DUR_1_4,mean_UNEMP_DUR_TOT,mean_PROB_JOB_FINDING,mean_OUTFLOW_RATE,mean_US_unc_h1,mean_US_unc_h3,mean_US_unc_h12
1956-10-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1957-01-01,NaN,NaN,NaN,NaN,0.1925669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1957-04-01,NaN,NaN,NaN,NaN,0.5035247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1957-07-01,NaN,NaN,NaN,NaN,0.104712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1957-10-01,NaN,NaN,NaN,NaN,0.1231527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1958-01-01,NaN,NaN,NaN,NaN,0.2769699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1958-04-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1958-07-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1958-10-01,NaN,NaN,NaN,NaN,0.2608922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1959-01-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1959-04-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1959-07-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1959-10-01,NaN,NaN,NaN,NaN,0.1371178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1960-01-01,NaN,NaN,12.220173821438,6.33333333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1960-04-01,NaN,NaN,12.2465104029497,6.9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1960-07-01,NaN,NaN,12.2465104029497,7.4,0.2557872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.610626824892555,0.731965673962119,0.856671947156892
1960-10-01,NaN,NaN,12.40452989202,7.56666666666667,0.126183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.656297827391623,0.771770380189596,0.875433619102649
1961-01-01,10168,85892.8,12.40452989202,7.63333333333333,0.1118193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.666061584020965,0.786301716164817,0.889092180413698
1961-04-01,10392,88065.3,12.40452989202,7.53333333333333,0.2146153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65118979372094,0.770113009060912,0.878661324262029
1961-07-01,10670,90187,12.40452989202,6.96666666666667,0.1156337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.617707465686284,0.744867792842554,0.86795772610136
1961-10-01,10869,91446.8,12.40452989202,6.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.604022238041257,0.730233617792763,0.853613258600389
1962-01-01,11174,93870.3,12.40452989202,6.06666666666667,0.2027164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.596307222980053,0.725378033446028,0.847188766829624
1962-04-01,11300,94561,12.5098762180669,5.73333333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.585001335178295,0.7140715559229,0.839209974309418
1962-07-01,11536,95806.3,12.5888859626021,5.8,0.2220495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.562731006868592,0.692287739547354,0.826732535751242
1962-10-01,11806,97758.3,12.6415591256255,5.86666666666667,0.1008675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55344722981032,0.6789998951089,0.812457415737217
1963-01-01,11917,98351.8,12.6415591256255,5.86666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.541552352034959,0.662183555369395,0.799902817275487
1963-04-01,12161,99790,12.6415591256255,5.63333333333333,0.0942685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.535700285987279,0.656013578440546,0.79720941950698
1963-07-01,12361,100566.3,12.8259151962075,5.33333333333333,0.2011668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.531287350315258,0.654301127484954,0.797741079403989
1963-10-01,12863,103722.8,12.8522517777193,5.1,0.2796681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.53582770836168,0.657749514316584,0.796836290777839
1964-01-01,13163,106295.8,12.878588359231,4.86666666666667,0.1966375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.543221330082652,0.658047154816831,0.79381184349982
1964-04-01,13379,106687.5,12.9575981037661,4.76666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.528438393480002,0.646989313103185,0.792935745164858
1964-07-01,13669,107799.3,13.0366078483013,4.56666666666667,0.1345714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.549383380648778,0.671821036090696,0.809654501135732
1964-10-01,13856,108381.3,13.062944429813,4.43333333333333,0.2196676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.617909443958604,0.729312366658078,0.830844162073543
1965-01-01,14341,111793,13.1156175928364,4.13333333333333,0.3212335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.554893620172724,0.679116046633128,0.811098782324601
1965-04-01,14691,112864,13.2473005003951,4.16666666666667,0.1577785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.537121510775203,0.663522191709819,0.803199959750953
1965-07-01,15043,114401,13.3526468264419,3.76666666666667,0.1156872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.547102128021962,0.670222622126072,0.80613627903911
